"id","valid_id","sname","sauthor","tname","tauthor","resource_id","resname","datecollected","latitude","longitude","lifestage","basisofrecord","datelastcached","dateprecision","datelastmodified","depth","depthprecision","temperature","salinity","nitrate","oxygen","phosphate","silicate"
13927887,501083,"Pterois volitans","(Linnaeus 1758)","Pterois volitans","(Linnaeus, 1758)",2333,"Kenya Marine and Fisheries Research Institute - Marine Species","",-0.0235591009259224,37.9062004089355,"","D",2011-05-22 00:00:00,"","9/14/2010",,,,,,,,
15982428,501083,"Pterois volitans","","Pterois volitans","(Linnaeus, 1758)",2432,"BOLD Public Fish Data","",10.1450004577637,106.985000610352,"","",,"","",,,,,,,,
11168967,501083,"Pterois volitans","","Pterois volitans","(Linnaeus, 1758)",129,"iziko South African Museum - Fish Collection","1981-05-17",-27.3166999816895,32.7000007629395,"","",2006-07-07 00:00:00,"12:00:00","2006-05-03",,,,,,,,
15617087,501083,"Pterois volitans","(Linnaeus, 1758)","Pterois volitans","(Linnaeus, 1758)",2415,"Ichtyologie","",-10,125,"","S",2010-11-03 00:00:00,"","",,,,,,,,
15619898,501083,"Pterois volitans","(Linnaeus, 1758)","Pterois volitans","(Linnaeus, 1758)",2415,"Ichtyologie","",15,122.5,"","S",2010-11-03 00:00:00,"","",,,,,,,,
15586223,501083,"Pterois volitans","(Linnaeus, 1758)","Pterois volitans","(Linnaeus, 1758)",2415,"Ichtyologie","",-3.83299994468689,128.167007446289,"","S",2010-11-03 00:00:00,"","",,,,,,,,
15642082,501083,"Pterois volitans","(Linnaeus, 1758)","Pterois volitans","(Linnaeus, 1758)",2415,"Ichtyologie","",-20,59,"","S",2010-11-03 00:00:00,"","",,,,,,,,
8582147,501083,"Pterois volitans","","Pterois volitans","(Linnaeus, 1758)",73,"Australian Museum","2002-07-08",-27.6399993896484,153.580001831055,"","",2005-11-12 00:00:00,"167 days 12:00:00","2005-10-10TAUS Eastern: Standard Time",,,,,,,,
2190901,501083,"Pterois volitans","","Pterois volitans","(Linnaeus, 1758)",73,"Australian Museum","1887-07-02",-30.4799995422363,159.080001831055,"","",2005-11-12 00:00:00,"182 days 12:00:00","2005-10-10TAUS Eastern: Standard Time",,,,,,,,
8802664,501083,"Pterois volitans","","Pterois volitans","(Linnaeus, 1758)",73,"Australian Museum","1975-07-14",-13.3699998855591,145.449996948242,"","",2005-11-12 00:00:00,"167 days 12:00:00","2005-10-10TAUS Eastern: Standard Time",,,,,,,,
5887324,501083,"Pterois volitans","","Pterois volitans","(Linnaeus, 1758)",73,"Australian Museum","1887-07-02",-30.4799995422363,159.080001831055,"","",2005-11-12 00:00:00,"182 days 12:00:00","2005-10-10TAUS Eastern: Standard Time",,,,,,,,
5604932,501083,"Pterois volitans","","Pterois volitans","(Linnaeus, 1758)",73,"Australian Museum","1887-07-02",-30.4799995422363,159.080001831055,"","",2005-11-12 00:00:00,"182 days 12:00:00","2005-10-10TAUS Eastern: Standard Time",,,,,,,,
15639887,501083,"Pterois volitans","(Linnaeus, 1758)","Pterois volitans","(Linnaeus, 1758)",2415,"Ichtyologie","",-25.1830005645752,47,"","S",2010-11-03 00:00:00,"","",,,,,,,,
15313352,501083,"Pterois volitans","(Linnaeus, 1758)","Pterois volitans","(Linnaeus, 1758)",2415,"Ichtyologie","1982-09-02",-20.867000579834,55.5999984741211,"","S",2010-11-03 00:00:00,"12:00:00","",45,0,24.932,35.126,0.2,4.956,0.145,3.012
15625768,501083,"Pterois volitans","(Linnaeus, 1758)","Pterois volitans","(Linnaeus, 1758)",2415,"Ichtyologie","",-3.83299994468689,128.167007446289,"","S",2010-11-03 00:00:00,"","",,,,,,,,
11586347,501083,"Pterois volitans","(Linnaeus, 1758)","Pterois volitans","(Linnaeus, 1758)",721,"Fishbase occurrences hosted by GBIF-Sweden","",4.66699981689453,119.402000427246,"","S",2009-03-16 00:00:00,"","2002-10-30T00:00:00:00:00Z",,,,,,,,
15783764,501083,"Pterois volitans","","Pterois volitans","(Linnaeus, 1758)",2417,"Fish specimens","1981-09-15",-14.6666669845581,145.5,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
