"id","tname","valid_id","latitude","longitude","qc"
259158441,"Discodoris heathi",628517,42.1134,8.61864,806878847
259159612,"Discodoris heathi",628517,43.05,6.46667,805830271
259160493,"Discodoris heathi",628517,43.05,6.46667,805830271
259157383,"Discodoris heathi",628517,43.1524,6.63451,806878847
3835605,"Discodoris heathi",628517,52.5900001525879,-131.419998168945,894959231
3828936,"Geitodoris heathi",628517,52.5699996948242,-131.440002441406,894959231
3828935,"Geitodoris heathi",628517,52.6991806030273,-131.721435546875,894959231
3828934,"Geitodoris heathi",628517,51.9599990844727,-131.029998779297,894959231
3828933,"Geitodoris heathi",628517,52.3300018310547,-131.309997558594,894959231
