"id","valid_id","sname","sauthor","tname","tauthor","resource_id","resname","datecollected","latitude","longitude","lifestage","basisofrecord","datelastcached","dateprecision","datelastmodified","depth","depthprecision","temperature","salinity","nitrate","oxygen","phosphate","silicate"
5501858,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",567,"National Whale and Dolphin Sightings and Strandings Database","1989-06-08",-12.1666669845581,136.83332824707,"","O",2008-09-25 00:00:00,"12:00:00","2005-07-01 00:00:00",0,0,,,,,,
240808677,483005,"Orcinus orca","","Orcinus orca","(Linnaeus, 1758)",519,"Cetacean distribution in the South Atlantic and South Pacific Ocean (AR-OBIS)","",-38.3667,-73.4167,"","O",,"","2006-12-01T11:52:44-03:00",,,,,,,,
240809009,483005,"Orcinus orca","","Orcinus orca","(Linnaeus, 1758)",519,"Cetacean distribution in the South Atlantic and South Pacific Ocean (AR-OBIS)","",-44.9,-65.57,"","O",,"","",,,,,,,,
11128932,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",150,"Cetacean Sightings Survey and Southern Ocean cetacean program","1999-11-30",-54.5200004577637,158.949996948242,"","",2006-09-20 00:00:00,"12:00:00","2006-09-04 00:04:09",0,0,5.95,34.005,19.829,6.975,1.408,6.646
11129049,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",150,"Cetacean Sightings Survey and Southern Ocean cetacean program","2003-01-11",-61.2400016784668,104.720001220703,"","",2006-09-20 00:00:00,"12:00:00","2006-09-04 00:04:07",0,0,-0.328,33.907,26.51,8.175,1.819,35.794
2031862,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",150,"Cetacean Sightings Survey and Southern Ocean cetacean program","2002-02-09",-68.5599975585938,70.6100006103516,"","",2006-09-20 00:00:00,"12:00:00","2006-09-04 00:03:14",0,0,-1.511,33.864,24.175,7.846,1.189,30.111
1850229,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",150,"Cetacean Sightings Survey and Southern Ocean cetacean program","1996-03-08",-65.1248474121094,133.915496826172,"","",2006-09-20 00:00:00,"12:00:00","2006-09-04 00:02:39",0,0,-1.516,33.91,30.211,7.443,2.135,63.829
11432391,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",150,"Cetacean Sightings Survey and Southern Ocean cetacean program","2002-02-17",-69.129997253418,74.8199996948242,"","",2006-09-20 00:00:00,"12:00:00","2006-09-04 00:05:18",0,0,,,,,,
9516666,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",150,"Cetacean Sightings Survey and Southern Ocean cetacean program","2000-03-11",-67.0147705078125,77.2057189941406,"","",2006-09-20 00:00:00,"12:00:00","2006-09-04 00:04:13",0,0,-1.241,33.662,24.911,7.998,1.459,25.926
47683,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",150,"Cetacean Sightings Survey and Southern Ocean cetacean program","2002-02-17",-69.2799987792969,74.8000030517578,"","",2006-09-20 00:00:00,"12:00:00","2006-09-04 00:04:07",0,0,,,,,,
4918154,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",150,"Cetacean Sightings Survey and Southern Ocean cetacean program","1998-02-12",-67.6368026733398,69.8744964599609,"","",2006-09-20 00:00:00,"12:00:00","2006-09-04 00:03:35",0,0,,,,,,
4533916,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",150,"Cetacean Sightings Survey and Southern Ocean cetacean program","2002-02-17",-69.1999969482422,74.8099975585938,"","",2006-09-20 00:00:00,"12:00:00","2006-09-04 00:05:18",0,0,,,,,,
6558409,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",150,"Cetacean Sightings Survey and Southern Ocean cetacean program","1998-01-01",-63.5499992370605,83.3899993896484,"","",2006-09-20 00:00:00,"12:00:00","2006-09-04 00:03:12",0,0,-0.878,33.747,24.753,8.051,1.707,33.115
11007482,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1997-10-13",-54.5009155273438,158.943801879883,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:47",0,0,5.95,34.005,19.829,6.975,1.408,6.646
6786502,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1994-11-23",-54.564640045166,158.920669555664,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:42",0,0,5.95,34.005,19.829,6.975,1.408,6.646
7738234,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1995-11-11",-54.5658874511719,158.920150756836,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:44",0,0,5.95,34.005,19.829,6.975,1.408,6.646
8444502,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1995-10-03",-54.674861907959,158.880218505859,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:43",0,0,5.95,34.005,19.829,6.975,1.408,6.646
8464783,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1992-09-10",-54.499137878418,158.94905090332,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:41",0,0,5.95,34.005,19.829,6.975,1.408,6.646
881247,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1997-10-12",-54.499137878418,158.944427490234,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:47",0,0,5.95,34.005,19.829,6.975,1.408,6.646
881294,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1995-09-24",-54.5801658630371,158.931793212891,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:43",0,0,5.95,34.005,19.829,6.975,1.408,6.646
1103238,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1996-09-20",-54.5658874511719,158.925567626953,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:45",0,0,5.95,34.005,19.829,6.975,1.408,6.646
1547393,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1995-12-06",-54.4929733276367,158.948913574219,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:45",0,0,5.95,34.005,19.829,6.975,1.408,6.646
1607979,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1995-11-23",-54.5296096801758,158.942916870117,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:45",0,0,5.95,34.005,19.829,6.975,1.408,6.646
7677807,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1997-11-19",-54.5009155273438,158.943801879883,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:47",0,0,5.95,34.005,19.829,6.975,1.408,6.646
2395364,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1997-10-11",-54.5027770996094,158.93701171875,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:47",0,0,5.95,34.005,19.829,6.975,1.408,6.646
2516408,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1994-12-22",-54.6301383972168,158.899749755859,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:42",0,0,5.95,34.005,19.829,6.975,1.408,6.646
4310943,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1996-10-06",-54.5296096801758,158.942916870117,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:46",0,0,5.95,34.005,19.829,6.975,1.408,6.646
4412726,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1995-01-01",-54.499137878418,158.956771850586,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:42",0,0,5.95,34.005,19.829,6.975,1.408,6.646
4533909,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1995-11-21",-54.5658874511719,158.941024780273,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:44",0,0,5.95,34.005,19.829,6.975,1.408,6.646
4695289,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1995-01-15",-54.5009155273438,158.946884155273,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:42",0,0,5.95,34.005,19.829,6.975,1.408,6.646
4796582,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1995-09-28",-54.4959983825684,158.932159423828,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:43",0,0,5.95,34.005,19.829,6.975,1.408,6.646
10745885,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1995-11-15",-54.5658874511719,158.925567626953,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:44",0,0,5.95,34.005,19.829,6.975,1.408,6.646
10684904,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1995-11-06",-54.5009155273438,158.943801879883,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:43",0,0,5.95,34.005,19.829,6.975,1.408,6.646
10644819,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1994-11-29",-54.5296096801758,158.942916870117,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:42",0,0,5.95,34.005,19.829,6.975,1.408,6.646
5082730,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1995-11-17",-54.5658874511719,158.941024780273,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:44",0,0,5.95,34.005,19.829,6.975,1.408,6.646
5103058,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1995-11-22",-54.5658874511719,158.919372558594,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:45",0,0,5.95,34.005,19.829,6.975,1.408,6.646
5224071,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1991-10-26",-54.4858093261719,158.942077636719,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:41",0,0,5.95,34.005,19.829,6.975,1.408,6.646
2052142,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1995-11-10",-54.5658874511719,158.925567626953,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:44",0,0,5.95,34.005,19.829,6.975,1.408,6.646
9233238,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1995-11-21",-54.5658874511719,158.922470092773,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:44",0,0,5.95,34.005,19.829,6.975,1.408,6.646
9636930,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1995-11-17",-54.5658874511719,158.933288574219,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:44",0,0,5.95,34.005,19.829,6.975,1.408,6.646
6356221,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",149,"Orca observations from the shores of Macquarie Island","1994-11-02",-54.5009155273438,158.941482543945,"","O",2006-09-15 00:00:00,"12:00:00","2006-07-10 11:38:42",0,0,5.95,34.005,19.829,6.975,1.408,6.646
19421145,483005,"Orcinus orca","Linnaeus","Orcinus orca","(Linnaeus, 1758)",1545,"Biodiversity of the Gulf of Mexico Database (BioGoMx)","",21.5704536437988,-87.8837127685547,"","D",2010-01-12 00:00:00,"","2009-12-11 11:30:00-07",1326,1326,,,,,,
12463788,483005,"Orcinus orca","Linnaeus","Orcinus orca","(Linnaeus, 1758)",1545,"Biodiversity of the Gulf of Mexico Database (BioGoMx)","",22.2799587249756,-97.7937316894531,"","D",2010-01-12 00:00:00,"","2009-12-11 11:30:00-07",1326,1326,,,,,,
17917314,483005,"Orcinus orca","Linnaeus","Orcinus orca","(Linnaeus, 1758)",1545,"Biodiversity of the Gulf of Mexico Database (BioGoMx)","",23.2547931671143,-88.9384689331055,"","D",2010-01-12 00:00:00,"","2009-12-11 11:30:00-07",1326,1326,,,,,,
18496730,483005,"Orcinus orca","Linnaeus","Orcinus orca","(Linnaeus, 1758)",1545,"Biodiversity of the Gulf of Mexico Database (BioGoMx)","",27.1292877197266,-96.6004257202148,"","D",2010-01-12 00:00:00,"","2009-12-11 11:30:00-07",1326,1326,,,,,,
20422597,483005,"Orcinus orca","Linnaeus","Orcinus orca","(Linnaeus, 1758)",1545,"Biodiversity of the Gulf of Mexico Database (BioGoMx)","",29.4725894927979,-87.1689300537109,"","D",2010-01-12 00:00:00,"","2009-12-11 11:30:00-07",1326,1326,,,,,,
19567510,483005,"Orcinus orca","Linnaeus","Orcinus orca","(Linnaeus, 1758)",1545,"Biodiversity of the Gulf of Mexico Database (BioGoMx)","",30.2504348754883,-86.6693878173828,"","D",2010-01-12 00:00:00,"","2009-12-11 11:30:00-07",1326,1326,,,,,,
19284590,483005,"Orcinus orca","Linnaeus","Orcinus orca","(Linnaeus, 1758)",1545,"Biodiversity of the Gulf of Mexico Database (BioGoMx)","",30.4191112518311,-86.5596389770508,"","D",2010-01-12 00:00:00,"","2009-12-11 11:30:00-07",1326,1326,,,,,,
8542161,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",14,"Seabirds of the Southern and South Indian Ocean","1985-03-01",-66.8600006103516,64.4100036621094,"","O",2008-12-03 00:00:00,"12:00:00","2007-05-18 0:00",,,,,,,,
9613173,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",14,"Seabirds of the Southern and South Indian Ocean","1985-02-08",-64.5,70.9100036621094,"","O",2008-12-03 00:00:00,"12:00:00","2003-01-01 0:00",,,,,,,,
1079095,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",14,"Seabirds of the Southern and South Indian Ocean","1984-12-28",-56.1300010681152,117.900001525879,"","O",2008-12-03 00:00:00,"12:00:00","2007-05-18 0:00",,,,,,,,
8259298,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",14,"Seabirds of the Southern and South Indian Ocean","1984-12-28",-56.1300010681152,117.940002441406,"","O",2008-12-03 00:00:00,"12:00:00","2007-05-18 0:00",,,,,,,,
6948420,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",14,"Seabirds of the Southern and South Indian Ocean","1979-01-20",-50.7799987792969,118.300003051758,"","O",2008-12-03 00:00:00,"12:00:00","2003-01-01 0:00",,,,,,,,
5078994,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",14,"Seabirds of the Southern and South Indian Ocean","1993-01-17",-68.5599975585938,77.6500015258789,"","O",2008-12-03 00:00:00,"12:00:00","2007-05-18 0:00",,,,,,,,
2532917,483005,"Orcinus orca","Linnaeus,1758","Orcinus orca","(Linnaeus, 1758)",14,"Seabirds of the Southern and South Indian Ocean","1985-01-06",-66.8300018310547,63.3600006103516,"","O",2008-12-03 00:00:00,"12:00:00","2007-05-18 0:00",,,,,,,,
